timestamp,arousal
0,2.0
1,2.0
2,2.0
3,2.0
4,2.3333333333333335
5,2.6666666666666665
6,3.0
7,3.0
8,3.0
9,3.0
10,2.6666666666666665
11,2.3333333333333335
12,2.0
13,2.3333333333333335
14,2.6666666666666665
15,3.0
16,3.0
17,3.0
18,3.0
19,3.0
20,3.0
21,3.0
22,2.6666666666666665
23,2.3333333333333335
24,2.0
25,2.6666666666666665
26,3.333333333333333
27,4.0
28,4.0
29,4.0
30,4.0
31,4.0
32,4.0
33,4.0
34,3.6666666666666665
35,3.3333333333333335
36,3.0
37,3.0
38,3.0
39,3.0
40,3.0
41,3.0
42,3.0
43,3.0
44,3.0
45,3.0
46,3.0
47,3.0
48,3.0
49,3.3333333333333335
50,3.6666666666666665
51,4.0
52,4.0
53,4.0
54,4.0
55,4.0
56,4.0
57,4.0
58,4.0
59,4.0
60,4.0
61,4.0
62,4.0
63,4.0
64,3.6666666666666665
65,3.3333333333333335
66,3.0
67,3.3333333333333335
68,3.6666666666666665
69,4.0
70,3.6666666666666665
71,3.3333333333333335
72,3.0
73,3.0
74,3.0
75,3.0
76,3.0
77,3.0
78,3.0
79,3.0
80,3.0
81,3.0
82,3.0
83,3.0
84,3.0
85,3.0
86,3.0
87,3.0
88,3.3333333333333335
89,3.6666666666666665
90,4.0
91,4.0
92,4.0
93,4.0
94,4.0
95,4.0
96,4.0
97,4.666666666666667
98,5.333333333333333
99,6.0
100,5.333333333333333
101,4.666666666666667
102,4.0
103,4.0
104,4.0
105,4.0
106,4.0
107,4.0
108,4.0
109,4.0
110,4.0
111,4.0
112,4.0
113,4.0
114,4.0
115,4.0
116,4.0
117,4.0
118,4.0
119,4.0
120,4.0
121,4.0
122,4.0
123,4.0
124,4.0
125,4.0
126,4.0
127,4.0
128,4.0
129,4.0
130,4.0
131,4.0
132,4.0
133,4.0
134,4.0
135,4.0
136,4.0
137,4.0
138,4.0
139,4.0
140,4.0
141,4.0
142,4.0
143,4.0
144,4.0
145,4.0
146,4.0
147,4.0
148,4.0
149,4.0
150,4.0
151,4.0
152,4.0
153,4.0
154,4.0
155,4.0
156,4.0
157,4.0
158,4.0
159,4.0
160,4.0
161,4.0
162,4.0
163,4.0
164,4.0
165,4.0
166,4.0
167,4.0
168,4.0
169,4.0
170,4.0
171,4.0
172,4.0
173,4.0
174,4.0
175,4.0
176,4.0
177,4.0
178,4.0
179,4.0
180,4.0
181,4.0
182,4.0
183,4.0
184,4.0
185,4.0
186,4.0
187,4.0
188,4.0
189,4.0
190,4.0
191,4.0
192,4.0
193,4.333333333333333
194,4.666666666666667
195,5.0
196,5.0
197,5.0
198,5.0
199,5.333333333333333
200,5.666666666666667
201,6.0
202,5.666666666666667
203,5.333333333333333
204,5.0
205,5.333333333333333
206,5.666666666666667
207,6.0
208,6.333333333333333
209,6.666666666666667
210,7.0
211,6.333333333333333
212,5.666666666666667
213,5.0
214,5.0
215,5.0
216,5.0
217,5.333333333333333
218,5.666666666666667
219,6.0
220,6.0
221,6.0
222,6.0
223,6.0
224,6.0
225,6.0
226,6.0
227,6.0
228,6.0
229,6.0
230,6.0
231,6.0
232,6.0
233,6.0
234,6.0
235,6.0
236,6.0
237,6.0
238,6.0
239,6.0
240,6.0
241,6.333333333333333
242,6.666666666666667
243,7.0
244,6.666666666666667
245,6.333333333333333
246,6.0
247,6.0
248,6.0
249,6.0
250,6.0
251,6.0
252,6.0
253,6.333333333333333
254,6.666666666666667
255,7.0
256,6.666666666666667
257,6.333333333333333
258,6.0
259,6.0
260,6.0
261,6.0
262,6.0
263,6.0
264,6.0
265,5.666666666666667
266,5.333333333333333
267,5.0
268,5.0
269,5.0
270,5.0
271,5.0
272,5.0
273,5.0
274,5.0
275,5.0
276,5.0
277,5.0
278,5.0
279,5.0
280,5.0
281,5.0
282,5.0
283,5.0
284,5.0
285,5.0
286,5.0
287,5.0
288,5.0
289,5.0
290,5.0
291,5.0
292,5.666666666666667
293,6.333333333333333
294,7.0
295,7.0
296,7.0
297,7.0
298,7.333333333333333
299,7.666666666666667
300,8.0
301,8.0
302,8.0
303,8.0
304,7.333333333333333
305,6.666666666666667
306,6.0
307,6.0
308,6.0
309,6.0
310,6.0
311,6.0
312,6.0
313,6.0
314,6.0
315,6.0
316,6.0
317,6.0
318,6.0
319,5.666666666666667
320,5.333333333333333
321,5.0
322,5.0
323,5.0
324,5.0
325,5.333333333333333
326,5.666666666666667
327,6.0
328,6.333333333333333
329,6.666666666666667
330,7.0
331,6.666666666666667
332,6.333333333333333
333,6.0
334,6.666666666666667
335,7.333333333333333
336,8.0
337,8.0
338,8.0
339,8.0
340,7.666666666666667
341,7.333333333333333
342,7.0
343,6.666666666666667
344,6.333333333333333
345,6.0
346,6.0
347,6.0
348,6.0
349,6.0
350,6.0
351,6.0
352,6.0
353,6.0
354,6.0
355,6.0
356,6.0
357,6.0
358,6.0
359,6.0
360,6.0
361,5.666666666666667
362,5.333333333333333
363,5.0
364,5.333333333333333
365,5.666666666666667
366,6.0
367,5.666666666666667
368,5.333333333333333
369,5.0
370,5.0
371,5.0
372,5.0
373,5.0
374,5.0
375,5.0
376,5.333333333333333
377,5.666666666666667
378,6.0
379,6.0
380,6.0
381,6.0
382,6.0
383,6.0
384,6.0
385,6.0
386,6.0
387,6.0
388,5.666666666666667
389,5.333333333333333
390,5.0
391,5.333333333333333
392,5.666666666666667
393,6.0
394,6.0
395,6.0
396,6.0
397,6.0
398,6.0
399,6.0
400,6.0
401,6.0
402,6.0
403,6.0
404,6.0
405,6.0
406,6.0
407,6.0
408,6.0
409,6.0
410,6.0
411,6.0
412,6.333333333333333
413,6.666666666666667
414,7.0
415,6.333333333333333
416,5.666666666666667
417,5.0
418,5.0
419,5.0
420,5.0
421,5.333333333333333
422,5.666666666666667
423,6.0
424,6.333333333333333
425,6.666666666666667
426,7.0
427,6.666666666666667
428,6.333333333333333
429,6.0
430,6.0
431,6.0
432,6.0
433,5.666666666666667
434,5.333333333333333
435,5.0
436,5.0
437,5.0
438,5.0
439,5.0
440,5.0
441,5.0
442,4.666666666666667
443,4.333333333333333
444,4.0
445,4.0
446,4.0
447,4.0
448,4.333333333333333
449,4.666666666666667
450,5.0
451,5.0
452,5.0
453,5.0
454,5.0
455,5.0
456,5.0
457,5.0
458,5.0
459,5.0
460,5.0
461,5.0
462,5.0
463,5.0
464,5.0
465,5.0
466,5.0
467,5.0
468,5.0
469,5.0
470,5.0
471,5.0
472,5.0
473,5.0
474,5.0
475,5.0
476,5.0
477,5.0
478,5.0
479,5.0
480,5.0
481,5.0
482,5.0
483,5.0
484,5.0
485,5.0
486,5.0
487,5.0
488,5.0
489,5.0
490,5.0
491,5.0
492,5.0
493,5.0
494,5.0
495,5.0
496,5.0
497,5.0
498,5.0
499,5.0
500,5.0
501,5.0
502,5.0
503,5.0
504,5.0
505,5.0
506,5.0
507,5.0
508,4.666666666666667
509,4.333333333333333
510,4.0
511,4.333333333333333
512,4.666666666666667
513,5.0
514,5.0
515,5.0
516,5.0
517,5.333333333333333
518,5.666666666666667
519,6.0
520,6.0
521,6.0
522,6.0
523,5.666666666666667
524,5.333333333333333
525,5.0
526,5.0
527,5.0
528,5.0
529,5.0
530,5.0
531,5.0
532,5.333333333333333
533,5.666666666666667
534,6.0
535,5.666666666666667
536,5.333333333333333
537,5.0
538,5.0
539,5.0
540,5.0
541,5.0
542,5.0
543,5.0
544,5.0
545,5.0
546,5.0
547,5.0
548,5.0
549,5.0
550,5.0
551,5.0
552,5.0
553,5.333333333333333
554,5.666666666666667
555,6.0
556,6.0
557,6.0
558,6.0
559,6.0
560,6.0
561,6.0
562,6.0
563,6.0
564,6.0
565,5.666666666666667
566,5.333333333333333
567,5.0
568,5.0
569,5.0
570,5.0
571,5.0
572,5.0
573,5.0
574,5.333333333333333
575,5.666666666666667
576,6.0
577,6.0
578,6.0
579,6.0
580,6.0
581,6.0
582,6.0
583,6.0
584,6.0
585,6.0
586,6.0
587,6.0
588,6.0
589,6.0
590,6.0
591,6.0
592,6.0
593,6.0
594,6.0
595,6.0
596,6.0
597,6.0
598,6.0
599,6.0
600,6.0
601,6.333333333333333
602,6.666666666666667
603,7.0
604,6.666666666666667
605,6.333333333333333
606,6.0
607,6.0
608,6.0
609,6.0
610,6.0
611,6.0
612,6.0
613,6.333333333333333
614,6.666666666666667
615,7.0
616,6.666666666666667
617,6.333333333333333
618,6.0
619,6.0
620,6.0
621,6.0
622,6.0
623,6.0
624,6.0
625,6.0
626,6.0
627,6.0
628,6.0
629,6.0
630,6.0
631,6.666666666666667
632,7.333333333333333
633,8.0
634,8.333333333333334
635,8.666666666666666
636,9.0
637,8.666666666666666
638,8.333333333333334
639,8.0
640,8.333333333333334
641,8.666666666666666
642,9.0
643,9.0
644,9.0
645,9.0
646,8.666666666666666
647,8.333333333333334
648,8.0
649,7.666666666666667
650,7.333333333333333
651,7.0
652,6.666666666666667
653,6.333333333333333
654,6.0
655,6.0
656,6.0
657,6.0
658,6.0
659,6.0
660,6.0
661,6.0
662,6.0
663,6.0
664,6.333333333333333
665,6.666666666666667
666,7.0
667,6.666666666666667
668,6.333333333333333
669,6.0
670,6.0
671,6.0
672,6.0
673,5.666666666666667
674,5.333333333333333
675,5.0
676,5.0
677,5.0
678,5.0
679,5.0
680,5.0
681,5.0
682,5.0
683,5.0
684,5.0
685,5.0
686,5.0
687,5.0
688,5.0
689,5.0
690,5.0
691,5.0
692,5.0
693,5.0
694,5.0
695,5.0
696,5.0
697,5.0
698,5.0
699,5.0
700,5.0
701,5.0
702,5.0
703,5.0
704,5.0
705,5.0
706,5.0
707,5.0
708,5.0
709,5.0
710,5.0
711,5.0
712,5.333333333333333
713,5.666666666666667
714,6.0
715,6.0
716,6.0
717,6.0
718,6.0
719,6.0
720,6.0
721,5.666666666666667
722,5.333333333333333
723,5.0
724,5.0
725,5.0
726,5.0
727,5.0
728,5.0
729,5.0
730,5.0
731,5.0
732,5.0
733,5.0
734,5.0
735,5.0
736,5.0
737,5.0
738,5.0
739,5.0
740,5.0
741,5.0
742,5.0
743,5.0
744,5.0
745,5.0
746,5.0
747,5.0
748,5.0
749,5.0
750,5.0
751,5.0
752,5.0
753,5.0
754,5.333333333333333
755,5.666666666666667
756,6.0
757,6.0
758,6.0
759,6.0
760,6.0
761,6.0
762,6.0
763,6.0
764,6.0
765,6.0
766,6.0
767,6.0
768,6.0
769,6.0
770,6.0
771,6.0
772,6.0
773,6.0
774,6.0
775,6.0
776,6.0
777,6.0
778,6.0
779,6.0
780,6.0
781,5.666666666666667
782,5.333333333333333
783,5.0
784,5.0
785,5.0
786,5.0
787,5.0
788,5.0
789,5.0
790,5.333333333333333
791,5.666666666666667
792,6.0
793,6.0
794,6.0
795,6.0
796,6.0
797,6.0
798,6.0
799,6.0
800,6.0
801,6.0
802,6.0
803,6.0
804,6.0
805,6.0
806,6.0
807,6.0
808,6.0
809,6.0
810,6.0
811,5.666666666666667
812,5.333333333333333
813,5.0
814,5.0
815,5.0
816,5.0
817,5.0
818,5.0
819,5.0
820,5.0
821,5.0
822,5.0
823,5.0
824,5.0
825,5.0
826,5.0
827,5.0
828,5.0
829,5.0
830,5.0
831,5.0
832,5.0
833,5.0
834,5.0
835,5.0
836,5.0
837,5.0
838,5.0
839,5.0
840,5.0
841,5.333333333333333
842,5.666666666666667
843,6.0
844,6.0
845,6.0
846,6.0
847,6.0
848,6.0
849,6.0
850,5.666666666666667
851,5.333333333333333
852,5.0
853,5.333333333333333
854,5.666666666666667
855,6.0
856,5.666666666666667
857,5.333333333333333
858,5.0
859,5.0
860,5.0
861,5.0
862,5.0
863,5.0
864,5.0
865,5.0
866,5.0
867,5.0
868,5.0
869,5.0
870,5.0
871,5.0
872,5.0
873,5.0
874,5.0
875,5.0
876,5.0
877,5.0
878,5.0
879,5.0
880,5.0
881,5.0
882,5.0
883,5.333333333333333
884,5.666666666666667
885,6.0
886,6.0
887,6.0
888,6.0
889,6.0
890,6.0
891,6.0
892,6.0
893,6.0
894,6.0
895,5.666666666666667
896,5.333333333333333
897,5.0
898,5.0
899,5.0
900,5.0
